Trans Number,Employee,Year,Month,WeekDay,Product,Units,Sales,Location
1,Betsy,2018,March,Thursday,lip gloss,45,137.2045583,south
2,Hallagan,2018,March,Wednesday,foundation,50,152.0073031,midwest
3,Ashley,2019,February,Friday,lipstick,9,28.71948312,midwest
4,Hallagan,2020,May,Monday,lip gloss,55,167.0753225,west
5,Zaret,2018,June,Thursday,lip gloss,43,130.6028724,midwest
6,Colleen,2019,November,Sunday,eye liner,58,175.9909741,midwest
7,Cristina,2018,March,Sunday,eye liner,8,25.80069218,midwest
8,Colleen,2020,December,Sunday,lip gloss,72,217.8396539,midwest
9,Ashley,2020,July,Wednesday,eye liner,75,226.6423269,south
10,Betsy,2020,August,Monday,lip gloss,24,73.50234217,east
11,Ashley,2018,November,Monday,mascara,43,130.8353684,east
12,Ashley,2018,November,Thursday,lip gloss,23,71.03436769,west
13,Emilee,2019,August,Wednesday,lip gloss,49,149.5927969,west
14,Hallagan,2018,December,Saturday,eye liner,18,56.47199923,south
15,Zaret,2020,September,Wednesday,foundation,8,21.99,east
16,Emilee,2018,April,Monday,mascara,45,137.3903759,east
17,Colleen,2020,April,Sunday,mascara,66,199.6543347,south
18,Jen,2019,August,Wednesday,lip gloss,88,265.1875515,midwest
19,Jen,2018,October,Wednesday,eye liner,78,236.1469779,south
20,Zaret,2019,November,Sunday,lip gloss,57,173.1152946,midwest
21,Zaret,2020,May,Friday,mascara,12,38.08143571,west
22,Betsy,2018,September,Friday,eye liner,28,86.5127757,midwest
23,Colleen,2020,January,Wednesday,mascara,25,77.30715164,midwest
26,Emilee,2020,December,Wednesday,lip gloss,24,74.62243446,west
27,Jen,2018,April,Monday,lipstick,38,115.9851772,midwest
28,Cristina,2019,September,Thursday,foundation,77,233.0543887,midwest
32,Cristina,2020,March,Tuesday,lip gloss,53,161.4639524,midwest
33,Cici,2018,June,Thursday,mascara,41,125.2697559,west
34,Zaret,2020,September,Saturday,mascara,19,59.1538987,west
39,Cici,2020,February,Thursday,foundation,9,24.62575125,west
40,Hallagan,2020,June,Saturday,foundation,38,115.5843378,south
41,Emilee,2018,February,Friday,eye liner,25,76.56209584,south
42,Emilee,2019,April,Sunday,mascara,19,59.38274936,midwest
43,Betsy,2018,March,Thursday,foundation,86,259.8599693,west
44,Colleen,2018,June,Sunday,lip gloss,55,167.1176136,midwest
45,Emilee,2020,September,Wednesday,lip gloss,2,7.848360038,east
46,Ashley,2019,August,Tuesday,mascara,93,280.6874786,east
47,Zaret,2018,September,Friday,eye liner,14,43.93155366,west
48,Emilee,2019,May,Tuesday,eye liner,37,113.03491,south
49,Betsy,2018,November,Thursday,foundation,63,190.6951106,west
50,Zaret,2018,November,Thursday,lip gloss,1,5.599704779,west
51,Zaret,2019,June,Wednesday,eye liner,24,73.59927269,midwest
52,Hallagan,2017,December,Sunday,eye liner,83,250.3327383,midwest
53,Cici,2019,July,Thursday,eye liner,49,148.5065973,midwest
54,Cristina,2019,April,Sunday,lip gloss,26,80.19791219,west
55,Jen,2020,May,Monday,lip gloss,35,107.9926482,west
56,Cristina,2018,April,Monday,lip gloss,8,26.90939978,south
57,Cici,2018,June,Monday,mascara,49,148.7778475,midwest
58,Cristina,2018,April,Monday,foundation,34,104.0937569,east
59,Cristina,2019,December,Thursday,lip gloss,8,26.23656421,midwest
60,Jen,2018,October,Wednesday,mascara,89,269.0908502,east
61,Colleen,2019,November,Wednesday,foundation,62,189.2541589,midwest
62,Emilee,2018,August,Wednesday,foundation,23,71.31321184,south
63,Cici,2018,June,Thursday,eye liner,95,287.7608169,midwest
64,Emilee,2020,May,Thursday,eye liner,41,125.0001884,south
65,Ashley,2019,April,Sunday,lip gloss,6,15.94286116,midwest
66,Betsy,2018,December,Saturday,mascara,84,253.9906178,south
67,Hallagan,2019,November,Saturday,foundation,63,191.367139,south
68,Zaret,2020,July,Sunday,lip gloss,0,2.36823309,west
69,Cristina,2019,January,Sunday,eye liner,73,221.4068753,east
70,Emilee,2018,December,Tuesday,eye liner,95,287.0532006,midwest
71,Ashley,2019,November,Wednesday,lipstick,93,280.7679851,west
72,Zaret,2018,June,Thursday,lipstick,54,163.8660541,south
73,Cristina,2019,June,Sunday,foundation,33,101.3670642,south
74,Ashley,2018,April,Monday,mascara,48,145.8360732,west
75,Jen,2019,January,Sunday,eye liner,7,18.53145443,midwest
76,Colleen,2020,March,Monday,foundation,2,3.941491559,west
77,Cristina,2018,January,Thursday,mascara,27,83.2909097,east
78,Emilee,2020,December,Sunday,foundation,56,170.237803,south
79,Cristina,2019,February,Monday,mascara,70,212.2924231,south
80,Jen,2019,March,Wednesday,mascara,16,49.45764588,west
81,Jen,2020,January,Tuesday,lip gloss,69,208.6851296,east
82,Colleen,2019,July,Friday,foundation,67,203.0142843,midwest
83,Cici,2018,November,Sunday,foundation,82,248.0986078,west
84,Ashley,2020,September,Sunday,eye liner,73,221.4762294,west
85,Cici,2018,February,Tuesday,foundation,80,241.2623907,south
86,Jen,2019,August,Tuesday,eye liner,2,4.237940561,east
87,Emilee,2019,August,Wednesday,eye liner,5,17.02605804,east
88,Zaret,2019,December,Monday,eye liner,26,80.2967645,south
89,Cici,2019,March,Saturday,foundation,1,5.010144013,midwest
90,Cici,2020,June,Tuesday,lipstick,3,7.615091886,south
91,Betsy,2020,August,Friday,eye liner,83,251.1835056,south
92,Jen,2018,May,Wednesday,mascara,33,100.3279523,midwest
93,Zaret,2018,April,Monday,foundation,62,188.0646155,west
94,Colleen,2020,May,Thursday,eye liner,58,176.4706951,midwest
95,Emilee,2019,August,Saturday,foundation,28,85.54426026,south
96,Jen,2020,December,Sunday,lip gloss,33,100.6861224,west
97,Cristina,2020,November,Saturday,foundation,92,278.1593385,south
98,Jen,2018,April,Monday,lip gloss,92,277.5397456,east
99,Colleen,2020,January,Saturday,lip gloss,75,226.7397733,south
100,Betsy,2019,September,Monday,eye liner,74,224.2334698,west
101,Zaret,2018,January,Thursday,foundation,67,202.4500927,west
102,Cristina,2018,August,Wednesday,foundation,16,49.45001851,south
103,Hallagan,2019,May,Friday,foundation,90,272.3399159,west
104,Jen,2020,March,Friday,lipstick,8,22.10755434,west
105,Cristina,2018,September,Monday,lipstick,51,155.2981889,midwest
106,Jen,2019,March,Wednesday,foundation,7,19.53289683,south
107,Emilee,2018,March,Sunday,lip gloss,9,29.27782164,midwest
108,Cici,2019,August,Wednesday,lip gloss,10,28.40674828,east
109,Ashley,2020,July,Sunday,foundation,10,32.11320479,south
110,Ashley,2019,March,Tuesday,mascara,35,107.5871043,midwest
111,Cici,2018,October,Tuesday,mascara,81,244.4609935,west
112,Cici,2018,November,Thursday,mascara,38,115.8648731,south
113,Emilee,2020,December,Wednesday,mascara,26,80.48864508,west
114,Betsy,2019,September,Thursday,lipstick,77,233.3310317,east
115,Emilee,2020,January,Saturday,foundation,39,118.6270614,south
116,Zaret,2020,June,Saturday,eye liner,22,68.07066359,east
117,Zaret,2020,May,Friday,foundation,68,205.76676,midwest
118,Cici,2019,May,Tuesday,foundation,59,178.713082,midwest
119,Colleen,2020,May,Monday,eye liner,20,62.36656617,east
120,Hallagan,2019,October,Tuesday,mascara,61,184.5624731,south
121,Zaret,2020,March,Monday,foundation,30,92.43442247,south
122,Jen,2020,July,Thursday,mascara,10,32.29872757,west
123,Zaret,2020,April,Sunday,eye liner,72,217.4528985,south
124,Ashley,2020,January,Tuesday,eye liner,57,173.363767,west
125,Hallagan,2019,November,Wednesday,lip gloss,41,124.3880808,midwest
126,Zaret,2018,April,Friday,eye liner,54,163.7455521,west
127,Emilee,2019,July,Thursday,lipstick,9,29.25994967,midwest
128,Cici,2019,May,Friday,lip gloss,1,5.006258685,south
129,Zaret,2020,February,Sunday,mascara,10,28.8886005,west
130,Ashley,2020,November,Tuesday,foundation,9,25.05971128,west
131,Jen,2018,November,Monday,mascara,56,168.8685013,east
132,Cici,2018,March,Sunday,lipstick,28,85.60062365,midwest
133,Betsy,2018,July,Friday,mascara,11,34.41737859,east
134,Cristina,2020,December,Sunday,lip gloss,11,34.91008669,south
135,Cristina,2019,February,Monday,eye liner,67,202.8660818,west
136,Colleen,2019,March,Wednesday,lip gloss,10,31.43203476,west
137,Emilee,2018,October,Wednesday,foundation,40,121.9472564,west
138,Colleen,2019,July,Thursday,mascara,77,233.0798357,west
139,Betsy,2019,May,Tuesday,lipstick,50,152.0431852,south
140,Jen,2018,June,Monday,eye liner,80,242.4955004,east
141,Jen,2020,December,Thursday,eye liner,83,250.7946065,south
142,Betsy,2020,January,Wednesday,lip gloss,4,9.499632763,west
143,Colleen,2019,January,Thursday,foundation,46,139.7550971,south
144,Ashley,2020,October,Monday,mascara,55,167.1931779,south
145,Cici,2018,September,Friday,mascara,89,269.4046655,east
146,Emilee,2019,July,Thursday,eye liner,59,179.1159001,west
147,Emilee,2019,March,Tuesday,lipstick,90,271.7531568,east
148,Ashley,2020,October,Friday,lipstick,17,53.66588403,midwest
149,Cici,2019,March,Tuesday,lipstick,37,113.6496958,east
150,Cristina,2020,March,Friday,foundation,4,9.424032728,south
151,Emilee,2019,July,Thursday,lip gloss,8,22.37638666,west
152,Zaret,2018,August,Thursday,lipstick,6,20.32160188,midwest
153,Cici,2018,October,Saturday,lipstick,63,191.679961,west
154,Jen,2018,August,Wednesday,lipstick,16,49.9437263,south
155,Betsy,2019,January,Thursday,mascara,22,67.81434719,south
156,Emilee,2019,December,Friday,foundation,81,244.9686688,west
157,Emilee,2019,September,Sunday,lip gloss,85,256.5569641,south
158,Jen,2018,May,Saturday,foundation,3,7.083148189,midwest
159,Emilee,2019,January,Sunday,lip gloss,51,154.4875564,south
160,Cici,2018,December,Saturday,lip gloss,72,217.4243726,south
161,Cristina,2018,February,Tuesday,lip gloss,46,139.9299959,midwest
162,Hallagan,2019,February,Friday,mascara,10,27.99619535,south
163,Cici,2019,August,Tuesday,foundation,5,12.19723853,south
164,Hallagan,2020,October,Thursday,eye liner,16,49.91762227,east
165,Hallagan,2019,December,Monday,foundation,25,76.98689891,east
166,Emilee,2019,March,Wednesday,eye liner,49,148.9071187,midwest
167,Betsy,2018,March,Sunday,lip gloss,21,64.3266591,west
168,Cristina,2020,May,Monday,lip gloss,29,88.98416146,south
169,Ashley,2018,February,Tuesday,lip gloss,63,191.1140798,east
170,Jen,2020,June,Tuesday,lip gloss,21,64.60296072,south
171,Betsy,2019,October,Friday,foundation,93,280.1727693,west
